実績入力以外の編集禁止,在籍,筑駒,開成,麻布,駒東,武蔵,桜蔭,JG,雙葉,豊島岡,渋幕,渋渋,広尾,慶普,慶湘,慶中,早稲田,早大学院,早実,聖光,栄光,浅野,フェリス,筑附,青山,明明,海城,芝,白百合,学習院女,洗足,吉祥女,鷗友,浦和明星,灘,1日8校率,男子御三家率,女子御三家率,"男四天王
（総在籍）","女四天王
 （総在籍）",筑駒率,開成率,桜蔭率,開桜率,"神奈川男子
御三家率"
下高井戸,86,0,0,0,4,1,2,3,0,2,1,3,3,1,2,4,2,3,1,0,0,1,0,0,0,3,,5,2,,,5,10,5,1,11.63%,1.2,,5.81%,8.14%,0.00%,0.00%,2.33%,2.33%,1.16%
茗荷谷,139,3,8,2,1,5,7,4,0,15,7,11,8,1,1,3,14,4,0,4,,,0,3,4,1,14,7,1,5,,5,1,17,1,19.42%,10.8,,11.51%,18.71%,2.16%,5.76%,5.04%,10.79%,2.88%
永福町,101,1,3,2,10,1,1,1,1,4,3,9,8,0,1,4,4,2,3,0,0,0,0,0,2,6,4,4,1,1,0,6,0,5,0,18.81%,5.9,,15.84%,6.93%,0.99%,2.97%,0.99%,3.96%,0.00%
センター南,64,2,2,0,3,0,0,1,0,0,1,1,5,6,1,0,0,0,0,11,0,11,2,1,1,0,0,0,0,0,5,0,0,2,0,12.50%,3.1,,7.81%,1.56%,3.13%,3.13%,0.00%,3.13%,34.38%
大宮,79,,5,3,,1,5,4,1,14,1,5,6,,,1,6,2,0,,,1,,2,,,9,1,1,,,1,,20,,24.05%,11.4,,11.39%,30.38%,0.00%,6.33%,6.33%,12.66%,1.27%
東戸塚,77,0,1,7,0,0,1,1,0,3,1,0,0,2,0,0,0,0,0,２,12,13,9,0,1,0,0,0,0,0,5,0,0,1,0,24.68%,10.4,,10.39%,6.49%,0.00%,1.30%,1.30%,2.60%,
若葉台,77,1,2,2,7,0,1,4,0,1,1,1,3,2,2,2,2,1,1,2,2,2,0,0,1,6,4,0,1,1,6,1,1,5,0,20.78%,5.2,,14.29%,7.79%,1.30%,2.60%,1.30%,3.90%,7.79%
上大岡,63,0,2,0,1,0,3,0,0,4,0,1,0,1,0,0,0,0,0,3,5,8,7,0,0,0,0,0,1,0,5,0,2,5,0,20.63%,3.2,,4.76%,11.11%,0.00%,3.17%,4.76%,7.94%,25.40%
宮前平(閉鎖),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茅ヶ崎,47,0,1,1,0,0,0,0,0,1,0,0,2,3,2,0,0,0,0,2,4,9,6,0,1,0,0,1,0,0,1,0,0,0,0,17.02%,4.3,,4.26%,2.13%,0.00%,2.13%,0.00%,2.13%,31.91%
所沢,58,0,2,1,0,2,3,1,0,3,0,2,0,0,,,1,1,2,0,0,0,0,0,0,0,3,1,0,1,1,2,0,7,0,15.52%,8.6,,8.62%,12.07%,0.00%,3.45%,5.17%,8.62%,0.00%
新越谷,45,0,3,2,0,0,3,0,0,2,6,1,1,0,,,,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,6,0,17.78%,11.1,,11.11%,11.11%,0.00%,6.67%,6.67%,13.33%,0.00%
松戸,114,2,4,4,,,1,1,2,3,7,,3,1,,2,1,,0,,,,0,1,2,,2,1,1,3,,,,12,,10.53%,7,,7.02%,6.14%,1.75%,3.51%,0.88%,4.39%,0.00%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
